text,intent,priority,sentiment,needs_handoff
"Hello, The service quality has been very poor as soon as possible",complaint,high,negative,no
"Hello, Your support team did not solve my issue as soon as possible",complaint,high,negative,yes
"Please, I need to report a bad experience right now",complaint,high,negative,no
"Hello, I am dissatisfied with the repeated delays",complaint,medium,negative,no
"Hi, I am dissatisfied with the repeated delays",complaint,medium,negative,yes
"Please, I am dissatisfied with the repeated delays as soon as possible",complaint,high,negative,no
I want to make a complaint about your service urgently,complaint,high,negative,yes
"Please, I need to report a bad experience",complaint,medium,negative,no
"Can you help, I am dissatisfied with the repeated delays",complaint,medium,negative,yes
"Please, I need to report a bad experience",complaint,high,negative,yes
"Hi, I am frustrated with how my case was handled as soon as possible",complaint,high,negative,yes
I want to make a complaint about your service right now,complaint,high,negative,yes
"Can you help, Please record my complaint about the network issue today",complaint,high,negative,yes
"Hello, I am dissatisfied with the repeated delays right now",complaint,high,negative,yes
"Hello, This is the second time I am facing the same problem today",complaint,high,negative,yes
"Hello, The staff was rude and unhelpful",complaint,medium,negative,yes
"Hi, Please record my complaint about the network issue urgently",complaint,high,negative,yes
"Can you help, The service quality has been very poor right now",complaint,high,negative,yes
I need to report a bad experience today,complaint,high,negative,no
"Can you help, The service quality has been very poor right now",complaint,high,negative,yes
"Please, This is the second time I am facing the same problem right now",complaint,high,negative,yes
"Can you help, The staff was rude and unhelpful today",complaint,high,negative,yes
"Hello, Please record my complaint about the network issue urgently",complaint,high,negative,yes
"Can you help, The staff was rude and unhelpful today",complaint,high,negative,yes
"Hi, I am dissatisfied with the repeated delays as soon as possible",complaint,high,negative,yes
I need to report a bad experience today,complaint,high,negative,no
"Can you help, I need to report a bad experience",complaint,medium,negative,yes
"Can you help, I am unhappy with the response from customer service as soon as possible",complaint,high,negative,no
"Hello, I am frustrated with how my case was handled as soon as possible",complaint,high,negative,yes
"Can you help, I want to make a complaint about your service",complaint,medium,negative,yes
"Hello, The staff was rude and unhelpful as soon as possible",complaint,high,negative,yes
"Can you help, The staff was rude and unhelpful today",complaint,high,negative,no
"Hello, I am dissatisfied with the repeated delays",complaint,medium,negative,yes
"Hi, Your support team did not solve my issue today",complaint,high,negative,yes
"Hello, The staff was rude and unhelpful as soon as possible",complaint,high,negative,yes
"Hi, I am dissatisfied with the repeated delays",complaint,high,negative,no
I want to make a complaint about your service urgently,complaint,high,negative,yes
"Hello, Please record my complaint about the network issue",complaint,high,negative,yes
"Please, The staff was rude and unhelpful right now",complaint,high,negative,yes
"Please, This is the second time I am facing the same problem right now",complaint,high,negative,yes
"Please, I need to report a bad experience",complaint,high,negative,no
"Please, The staff was rude and unhelpful today",complaint,high,negative,no
"Please, I need to report a bad experience today",complaint,high,negative,yes
"Hello, This is the second time I am facing the same problem",complaint,medium,negative,yes
"Please, I need to report a bad experience",complaint,medium,negative,no
I am dissatisfied with the repeated delays today,complaint,high,negative,yes
"Please, Please help me modify my existing plan right now",plan_change,high,neutral,yes
"Can you help, Help me change my data plan",plan_change,medium,negative,no
"Hi, I want to upgrade my current mobile plan",plan_change,medium,neutral,no
"Hi, I want to upgrade my current mobile plan today",plan_change,high,neutral,no
"Can you help, Help me change my data plan today",plan_change,high,neutral,no
"Please, Please help me modify my existing plan today",plan_change,high,neutral,yes
"Hi, I want a new plan with lower monthly cost right now",plan_change,high,neutral,yes
"Hello, Can I update my package benefits",plan_change,medium,neutral,no
"Hi, Can I update my package benefits",plan_change,medium,neutral,yes
"Hello, What are the options to change my plan",plan_change,medium,neutral,no
"Hi, What are the options to change my plan",plan_change,medium,neutral,no
"Hello, What are the options to change my plan",plan_change,low,neutral,yes
"Can you help, Please move me to a plan with more data today",plan_change,high,negative,yes
"Hello, What are the options to change my plan urgently",plan_change,high,neutral,yes
"Please, I want to change from prepaid to postpaid today",plan_change,high,negative,yes
"Hello, I want to upgrade my current mobile plan as soon as possible",plan_change,high,neutral,yes
Please move me to a plan with more data today,plan_change,high,negative,yes
"Can you help, I need to downgrade my subscription right now",plan_change,high,negative,yes
"Hello, Help me change my data plan urgently",plan_change,high,neutral,no
I want a new plan with lower monthly cost right now,plan_change,high,neutral,yes
"Hi, I want to upgrade my current mobile plan urgently",plan_change,high,neutral,no
"Hello, Can I update my package benefits urgently",plan_change,high,neutral,yes
"Hi, I want to upgrade my current mobile plan",plan_change,low,neutral,no
"Can you help, Can I update my package benefits",plan_change,low,negative,no
"Hello, I want to upgrade my current mobile plan urgently",plan_change,high,neutral,yes
"Please, I need to downgrade my subscription",plan_change,medium,neutral,no
"Can you help, Help me change my data plan urgently",plan_change,high,negative,no
"Hi, What are the options to change my plan urgently",plan_change,high,neutral,no
"Hello, Please help me modify my existing plan",plan_change,low,negative,no
"Can you help, I want a new plan with lower monthly cost",plan_change,medium,neutral,yes
"Can you help, What are the options to change my plan right now",plan_change,high,neutral,no
"Hi, Can I update my package benefits",plan_change,medium,neutral,yes
"Hi, I want to upgrade my current mobile plan",plan_change,medium,neutral,no
"Please, I need to downgrade my subscription right now",plan_change,high,negative,no
"Please, Please move me to a plan with more data urgently",plan_change,high,negative,yes
Help me change my data plan right now,plan_change,high,negative,no
"Hi, I want to upgrade my current mobile plan as soon as possible",plan_change,high,neutral,no
"Hi, Can I update my package benefits as soon as possible",plan_change,high,neutral,no
"Hello, Please help me modify my existing plan",plan_change,medium,neutral,no
"Hello, I need to downgrade my subscription urgently",plan_change,high,neutral,yes
Can I update my package benefits as soon as possible,plan_change,high,neutral,no
"Can you help, I want a new plan with lower monthly cost",plan_change,medium,neutral,yes
"Hello, Please move me to a plan with more data",plan_change,low,neutral,no
"Can you help, Help me change my data plan today",plan_change,high,negative,no
"Please, Can I update my package benefits",plan_change,medium,neutral,no
"Please, Can I switch to a cheaper package",plan_change,medium,negative,no
"Please, Can I switch to a cheaper package urgently",plan_change,high,neutral,yes
"Please, Help me change my data plan right now",plan_change,high,negative,yes
"Can you help, Can I switch to a cheaper package",plan_change,low,negative,no
"Please, Can I update my package benefits urgently",plan_change,high,negative,yes
"Please, I want to change from prepaid to postpaid today",plan_change,high,neutral,yes
"Can you help, What are the options to change my plan",plan_change,low,negative,no
I need to downgrade my subscription,plan_change,low,neutral,no
"Can you help, Please move me to a plan with more data",plan_change,low,neutral,no
"Can you help, I want to upgrade my current mobile plan as soon as possible",plan_change,high,negative,yes
"Hi, I want to change from prepaid to postpaid as soon as possible",plan_change,high,neutral,no
"Can you help, I want to change from prepaid to postpaid today",plan_change,high,neutral,yes
"Please, Help me change my data plan",plan_change,medium,neutral,no
"Please, I want to change from prepaid to postpaid",plan_change,low,neutral,no
What are the options to change my plan today,plan_change,high,neutral,yes
"Please, I want to change from prepaid to postpaid",plan_change,medium,neutral,no
"Can you help, Please move me to a plan with more data right now",plan_change,high,negative,yes
I want to upgrade my current mobile plan,plan_change,medium,neutral,yes
I need to downgrade my subscription right now,plan_change,high,neutral,no
Please help me modify my existing plan urgently,plan_change,high,negative,yes
I need to downgrade my subscription,plan_change,low,neutral,no
"Can you help, I need to downgrade my subscription",plan_change,low,neutral,no
"Please, What are the options to change my plan right now",plan_change,high,negative,yes
"Please, Please move me to a plan with more data right now",plan_change,high,negative,yes
"Please, I need to downgrade my subscription today",plan_change,high,negative,no
I want a new plan with lower monthly cost,plan_change,medium,neutral,no
"Can you help, I want a new plan with lower monthly cost today",plan_change,high,neutral,no
"Can you help, I want a new plan with lower monthly cost as soon as possible",plan_change,high,negative,no
"Hi, What are the options to change my plan today",plan_change,high,neutral,no
"Please, Can I update my package benefits right now",plan_change,high,neutral,no
"Hi, Can I update my package benefits urgently",plan_change,high,neutral,yes
"Can you help, I want to change from prepaid to postpaid",plan_change,medium,neutral,no
"Hi, What are the options to change my plan right now",plan_change,high,neutral,no
Can I update my package benefits as soon as possible,plan_change,high,neutral,no
"Please, I need to downgrade my subscription urgently",plan_change,high,negative,no
"Please, Please help me modify my existing plan urgently",plan_change,high,neutral,no
"Please, I want a new plan with lower monthly cost right now",plan_change,high,negative,yes
"Hello, What are the options to change my plan urgently",plan_change,high,neutral,no
"Hi, Can I switch to a cheaper package",plan_change,medium,neutral,no
"Please, I need to downgrade my subscription today",plan_change,high,neutral,yes
"Hello, What are the options to change my plan today",plan_change,high,neutral,no
"Please, Please move me to a plan with more data as soon as possible",plan_change,high,negative,no
"Please, Can I update my package benefits today",plan_change,high,neutral,yes
"Can you help, Please move me to a plan with more data right now",plan_change,high,negative,no
"Can you help, I want to upgrade my current mobile plan",plan_change,low,neutral,no
"Hello, I want a new plan with lower monthly cost",plan_change,medium,neutral,yes
"Can you help, What are the options to change my plan right now",plan_change,high,neutral,no
"Hi, I want to change from prepaid to postpaid",plan_change,low,neutral,no
"Please, Please move me to a plan with more data as soon as possible",plan_change,high,negative,yes
"Can you help, Can I update my package benefits right now",plan_change,high,negative,yes
"Hi, I want a new plan with lower monthly cost today",plan_change,high,neutral,no
"Please, I want to upgrade my current mobile plan",plan_change,low,neutral,yes
I want to upgrade my current mobile plan today,plan_change,high,neutral,no
"Hi, Can I switch to a cheaper package",plan_change,low,neutral,no
"Hi, I want a new plan with lower monthly cost today",plan_change,high,neutral,no
Please help me modify my existing plan,plan_change,medium,negative,yes
"Can you help, I want to upgrade my current mobile plan urgently",plan_change,high,negative,yes
I want a new plan with lower monthly cost,plan_change,medium,neutral,yes
"Hello, I want to upgrade my current mobile plan",plan_change,medium,neutral,yes
"Can you help, Help me change my data plan urgently",plan_change,high,neutral,yes
"Hi, I need to downgrade my subscription right now",plan_change,high,neutral,yes
"Please, What are the options to change my plan as soon as possible",plan_change,high,negative,no
Please move me to a plan with more data today,plan_change,high,negative,yes
"Hi, I need to downgrade my subscription as soon as possible",plan_change,high,neutral,yes
I want to upgrade my current mobile plan urgently,plan_change,high,neutral,no
"Can you help, I want to change from prepaid to postpaid",plan_change,medium,neutral,yes
Help me change my data plan urgently,plan_change,high,negative,no
"Hello, Please help me modify my existing plan urgently",plan_change,high,neutral,no
"Hi, Please help me modify my existing plan today",plan_change,high,negative,yes
What are the options to change my plan,plan_change,medium,neutral,yes
Help me change my data plan as soon as possible,plan_change,high,neutral,no
"Please, Help me change my data plan",plan_change,medium,neutral,no
"Hi, Please help me modify my existing plan right now",plan_change,high,negative,yes
"Please, Please move me to a plan with more data today",plan_change,high,neutral,yes
I want a new plan with lower monthly cost,plan_change,medium,neutral,no
I want to change from prepaid to postpaid right now,plan_change,high,neutral,no
"Hello, Please help me modify my existing plan",plan_change,medium,negative,no
What are the options to change my plan today,plan_change,high,neutral,no
"Hi, Please move me to a plan with more data",plan_change,medium,negative,no
"Please, I want to change from prepaid to postpaid urgently",plan_change,high,negative,yes
How do I activate international roaming as soon as possible,roaming,high,neutral,no
"Can you help, I got unexpected roaming charges abroad",roaming,medium,negative,no
How do I activate international roaming urgently,roaming,high,neutral,no
"Can you help, I need a roaming package for my trip as soon as possible",roaming,high,neutral,no
I got unexpected roaming charges abroad today,roaming,high,neutral,no
"Please, How much does roaming cost in another country",roaming,medium,neutral,no
I need a roaming package for my trip,roaming,low,neutral,yes
"Please, I need a roaming package for my trip today",roaming,high,neutral,no
"Can you help, Please check my roaming service activation urgently",roaming,high,neutral,yes
"Please, I got unexpected roaming charges abroad",roaming,medium,neutral,no
"Hello, Why can't I use mobile data while travelling as soon as possible",roaming,high,negative,no
"Hi, How do I activate international roaming right now",roaming,high,neutral,no
"Hello, Please check my roaming service activation as soon as possible",roaming,high,negative,yes
"Hello, Why can't I use mobile data while travelling right now",roaming,high,negative,yes
"Can you help, I cannot connect to a network overseas",roaming,medium,negative,no
I got unexpected roaming charges abroad as soon as possible,roaming,high,neutral,no
"Can you help, I need a roaming package for my trip",roaming,medium,negative,no
"Hello, Please check my roaming service activation",roaming,medium,neutral,no
"Hello, I cannot connect to a network overseas",roaming,medium,negative,no
"Hello, I got unexpected roaming charges abroad today",roaming,high,neutral,no
"Hello, Roaming calls are not going through",roaming,low,neutral,no
"Can you help, Why can't I use mobile data while travelling today",roaming,high,negative,no
I cannot connect to a network overseas right now,roaming,high,negative,yes
"Please, I got unexpected roaming charges abroad",roaming,medium,neutral,yes
"Can you help, Can you help me with roaming settings today",roaming,high,negative,yes
Please check my roaming service activation,roaming,medium,neutral,yes
"Hello, Can you help me with roaming settings as soon as possible",roaming,high,neutral,yes
"Can you help, Please check my roaming service activation urgently",roaming,high,negative,yes
"Can you help, I cannot connect to a network overseas today",roaming,high,negative,yes
"Please, Please check my roaming service activation",roaming,low,negative,yes
"Please, I cannot connect to a network overseas",roaming,medium,negative,no
"Hi, I need a roaming package for my trip right now",roaming,high,neutral,yes
"Please, My roaming is not working overseas",roaming,high,negative,no
My roaming is not working overseas urgently,roaming,high,neutral,no
"Hi, How much does roaming cost in another country",roaming,medium,neutral,yes
"Please, I cannot connect to a network overseas right now",roaming,high,negative,no
"Hello, Please check my roaming service activation today",roaming,high,neutral,no
Roaming calls are not going through urgently,roaming,high,neutral,no
"Can you help, How do I activate international roaming urgently",roaming,high,neutral,no
"Hello, I need a roaming package for my trip today",roaming,high,neutral,no
"Please, Roaming calls are not going through as soon as possible",roaming,high,negative,yes
"Can you help, Roaming calls are not going through as soon as possible",roaming,high,neutral,no
How do I activate international roaming urgently,roaming,high,neutral,no
I got unexpected roaming charges abroad,roaming,low,neutral,yes
"Hi, How much does roaming cost in another country right now",roaming,high,neutral,no
"Please, Please check my roaming service activation today",roaming,high,neutral,no
"Hi, I got unexpected roaming charges abroad",roaming,medium,neutral,no
"Can you help, My roaming is not working overseas",roaming,medium,negative,yes
"Can you help, Please check my roaming service activation urgently",roaming,high,neutral,no
"Hello, How do I activate international roaming",roaming,low,neutral,yes
"Hi, I need a roaming package for my trip as soon as possible",roaming,high,neutral,no
"Can you help, How do I activate international roaming as soon as possible",roaming,high,negative,yes
"Hello, I cannot connect to a network overseas today",roaming,high,negative,yes
"Can you help, I cannot connect to a network overseas urgently",roaming,high,negative,no
"Hello, Roaming calls are not going through",roaming,low,neutral,yes
"Hello, I cannot connect to a network overseas",roaming,medium,negative,yes
"Hi, I need a roaming package for my trip urgently",roaming,high,neutral,no
"Hello, How do I activate international roaming right now",roaming,high,neutral,no
"Hi, How much does roaming cost in another country today",roaming,high,neutral,no
"Please, I got unexpected roaming charges abroad",roaming,medium,negative,no
"Can you help, How much does roaming cost in another country",roaming,medium,neutral,yes
"Hi, Roaming calls are not going through as soon as possible",roaming,high,neutral,no
"Hi, I need a roaming package for my trip today",roaming,high,neutral,yes
I need a roaming package for my trip urgently,roaming,high,neutral,no
"Hi, Can you help me with roaming settings today",roaming,high,negative,no
"Can you help, Please check my roaming service activation",roaming,medium,negative,no
I cannot connect to a network overseas urgently,roaming,high,negative,yes
"Hello, My roaming is not working overseas as soon as possible",roaming,high,neutral,no
"Please, Why can't I use mobile data while travelling right now",roaming,high,negative,no
"Please, Roaming calls are not going through",roaming,medium,neutral,yes
Why can't I use mobile data while travelling,roaming,high,negative,yes
Roaming calls are not going through,roaming,low,neutral,no
Can you help me with roaming settings as soon as possible,roaming,high,neutral,no
"Hello, I need a roaming package for my trip urgently",roaming,high,neutral,no
Can you help me with roaming settings right now,roaming,high,negative,yes
"Please, Please check my roaming service activation right now",roaming,high,neutral,no
"Hi, My roaming is not working overseas",roaming,high,neutral,yes
"Hello, I cannot connect to a network overseas",roaming,medium,negative,no
"Hello, Why can't I use mobile data while travelling",roaming,high,negative,yes
I got unexpected roaming charges abroad today,roaming,high,neutral,no
"Hello, I got unexpected roaming charges abroad",roaming,low,neutral,no
"Hi, I need a roaming package for my trip right now",roaming,high,neutral,yes
"Can you help, Roaming calls are not going through right now",roaming,high,negative,yes
"Can you help, Please check my roaming service activation today",roaming,high,neutral,yes
Please check my roaming service activation,roaming,medium,negative,yes
"Hello, Roaming calls are not going through today",roaming,high,neutral,no
"Please, My roaming is not working overseas",roaming,medium,negative,yes
"Hello, How do I activate international roaming",roaming,medium,neutral,no
"Can you help, Can you help me with roaming settings today",roaming,high,negative,no
"Hello, I need a roaming package for my trip",roaming,medium,neutral,no
"Please, Roaming calls are not going through as soon as possible",roaming,high,neutral,no
Roaming calls are not going through urgently,roaming,high,neutral,no
"Hi, Roaming calls are not going through today",roaming,high,neutral,no
"Can you help, Can you help me with roaming settings",roaming,low,negative,no
"Hello, How do I activate international roaming",roaming,medium,neutral,no
I need a roaming package for my trip,roaming,medium,neutral,no
Please check my roaming service activation,roaming,medium,neutral,no
How do I activate international roaming urgently,roaming,high,neutral,no
"Can you help, How do I activate international roaming right now",roaming,high,neutral,yes
"Can you help, My roaming is not working overseas urgently",roaming,high,negative,yes
"Can you help, I got unexpected roaming charges abroad today",roaming,high,neutral,no
"Can you help, How do I activate international roaming",roaming,low,neutral,no
"Hello, Why can't I use mobile data while travelling right now",roaming,high,negative,no
"Hi, I got unexpected roaming charges abroad urgently",roaming,high,neutral,yes
"Please, My roaming is not working overseas",roaming,medium,negative,no
"Hi, I got unexpected roaming charges abroad today",roaming,high,neutral,yes
"Can you help, Can you help me with roaming settings urgently",roaming,high,neutral,no
I cannot connect to a network overseas,roaming,high,negative,no
"Can you help, I need a roaming package for my trip right now",roaming,high,neutral,no
Can you help me with roaming settings,roaming,medium,negative,yes
Why can't I use mobile data while travelling right now,roaming,high,negative,yes
"Please, How much does roaming cost in another country right now",roaming,high,negative,no
Can you help me with roaming settings today,roaming,high,negative,yes
"Hi, Roaming calls are not going through",roaming,medium,neutral,no
"Please, My roaming is not working overseas as soon as possible",roaming,high,negative,yes
"Can you help, I cannot connect to a network overseas today",roaming,high,negative,no
"Please, I got unexpected roaming charges abroad today",roaming,high,neutral,no
"Please, How do I activate international roaming urgently",roaming,high,negative,yes
My roaming is not working overseas today,roaming,high,neutral,yes
"Hello, How much does roaming cost in another country today",roaming,high,neutral,no
"Can you help, How do I activate international roaming",roaming,medium,neutral,no
Why can't I use mobile data while travelling urgently,roaming,high,negative,yes
"Hi, I got unexpected roaming charges abroad",roaming,medium,neutral,no
"Please, How do I activate international roaming as soon as possible",roaming,high,negative,yes
"Hi, My roaming is not working overseas right now",roaming,high,neutral,no
"Can you help, I need to replace my damaged SIM card today",sim_issue,high,neutral,no
"Hi, I need to replace my damaged SIM card urgently",sim_issue,high,neutral,yes
"Hi, My SIM card is not detected right now",sim_issue,high,neutral,no
"Hello, My SIM card suddenly has no signal",sim_issue,medium,neutral,no
"Hi, My new SIM is not activated yet right now",sim_issue,high,neutral,yes
"Hello, I need to replace my damaged SIM card urgently",sim_issue,high,neutral,no
"Can you help, I lost my SIM card and need a new one",sim_issue,low,negative,no
"Please, I need to replace my damaged SIM card today",sim_issue,high,negative,yes
"Hello, My SIM card is not detected today",sim_issue,high,neutral,yes
"Hi, My new SIM is not activated yet right now",sim_issue,high,neutral,no
I need support for an eSIM activation issue,sim_issue,medium,neutral,no
"Hi, My SIM card suddenly has no signal urgently",sim_issue,high,neutral,no
Why does my phone say invalid SIM urgently,sim_issue,high,negative,no
"Hello, The SIM tray is fine but the card has no service right now",sim_issue,high,neutral,no
My SIM card suddenly has no signal,sim_issue,medium,neutral,yes
"Can you help, Why does my phone say invalid SIM as soon as possible",sim_issue,high,negative,yes
"Can you help, My new SIM is not activated yet as soon as possible",sim_issue,high,neutral,yes
"Hello, I need to replace my damaged SIM card",sim_issue,medium,neutral,no
"Hi, Why does my phone say invalid SIM",sim_issue,low,negative,no
Can you help me with SIM activation as soon as possible,sim_issue,high,negative,no
My SIM card suddenly has no signal today,sim_issue,high,neutral,no
"Hello, Why does my phone say invalid SIM as soon as possible",sim_issue,high,negative,yes
"Hello, I need support for an eSIM activation issue right now",sim_issue,high,neutral,no
"Hello, I need support for an eSIM activation issue today",sim_issue,high,neutral,no
"Please, Why does my phone say invalid SIM right now",sim_issue,high,negative,yes
"Can you help, My SIM card is not detected right now",sim_issue,high,negative,yes
My new SIM is not activated yet urgently,sim_issue,high,neutral,yes
"Can you help, I lost my SIM card and need a new one urgently",sim_issue,high,negative,yes
"Please, Why does my phone say invalid SIM today",sim_issue,high,negative,no
The SIM stopped working after I inserted it,sim_issue,medium,neutral,no
Why does my phone say invalid SIM,sim_issue,medium,negative,yes
"Hello, Can you help me with SIM activation",sim_issue,low,neutral,yes
"Hi, The SIM tray is fine but the card has no service urgently",sim_issue,high,neutral,yes
"Please, My SIM card is not detected today",sim_issue,high,neutral,no
"Hello, I lost my SIM card and need a new one as soon as possible",sim_issue,high,negative,no
"Hello, My new SIM is not activated yet today",sim_issue,high,neutral,no
"Hi, I need to replace my damaged SIM card right now",sim_issue,high,neutral,no
"Please, I need to replace my damaged SIM card right now",sim_issue,high,neutral,no
"Can you help, Can you help me with SIM activation as soon as possible",sim_issue,high,negative,yes
"Please, My new SIM is not activated yet right now",sim_issue,high,negative,no
"Can you help, I lost my SIM card and need a new one urgently",sim_issue,high,negative,yes
"Hi, I lost my SIM card and need a new one",sim_issue,medium,negative,yes
Why does my phone say invalid SIM as soon as possible,sim_issue,high,negative,yes
Why does my phone say invalid SIM as soon as possible,sim_issue,high,negative,no
"Please, My SIM card is not detected",sim_issue,medium,negative,no
The SIM tray is fine but the card has no service today,sim_issue,high,neutral,yes
"Please, Why does my phone say invalid SIM urgently",sim_issue,high,negative,no
The SIM stopped working after I inserted it urgently,sim_issue,high,neutral,no
Why does my phone say invalid SIM right now,sim_issue,high,negative,yes
"Can you help, My new SIM is not activated yet",sim_issue,medium,neutral,yes
"Please, I lost my SIM card and need a new one urgently",sim_issue,high,negative,yes
Why does my phone say invalid SIM,sim_issue,medium,negative,no
My new SIM is not activated yet urgently,sim_issue,high,neutral,no
"Can you help, My SIM card is not detected right now",sim_issue,high,negative,yes
"Can you help, Can you help me with SIM activation urgently",sim_issue,high,negative,yes
"Can you help, The SIM stopped working after I inserted it as soon as possible",sim_issue,high,neutral,no
"Hello, I lost my SIM card and need a new one today",sim_issue,high,negative,yes
I need support for an eSIM activation issue,sim_issue,medium,neutral,no
"Hello, Can you help me with SIM activation today",sim_issue,high,negative,yes
I lost my SIM card and need a new one today,sim_issue,high,negative,yes
"Can you help, Why does my phone say invalid SIM",sim_issue,medium,negative,no
"Please, My SIM card is not detected today",sim_issue,high,negative,no
"Please, Can you help me with SIM activation as soon as possible",sim_issue,high,negative,no
"Hello, The SIM stopped working after I inserted it urgently",sim_issue,high,neutral,no
"Please, Why does my phone say invalid SIM urgently",sim_issue,high,negative,no
Can you help me with SIM activation,sim_issue,medium,neutral,no
Why does my phone say invalid SIM,sim_issue,low,negative,no
"Please, My SIM card is not detected right now",sim_issue,high,negative,no
"Hi, The SIM stopped working after I inserted it right now",sim_issue,high,neutral,yes
"Hello, My new SIM is not activated yet",sim_issue,low,neutral,yes
"Hello, I need support for an eSIM activation issue",sim_issue,low,neutral,yes
"Hi, Can you help me with SIM activation",sim_issue,medium,neutral,no
I need to replace my damaged SIM card urgently,sim_issue,high,neutral,no
"Please, Why does my phone say invalid SIM urgently",sim_issue,high,negative,yes
"Can you help, My SIM card is not detected as soon as possible",sim_issue,high,neutral,no
"Hello, The SIM stopped working after I inserted it as soon as possible",sim_issue,high,neutral,no
The SIM stopped working after I inserted it,sim_issue,medium,neutral,no
My SIM card suddenly has no signal as soon as possible,sim_issue,high,neutral,no
"Hello, The SIM tray is fine but the card has no service",sim_issue,medium,neutral,no
"Hello, My new SIM is not activated yet right now",sim_issue,high,neutral,no
"Can you help, Can you help me with SIM activation",sim_issue,medium,neutral,yes
"Please, I need support for an eSIM activation issue as soon as possible",sim_issue,high,neutral,yes
"Please, The SIM stopped working after I inserted it today",sim_issue,high,negative,yes
"Hello, The SIM stopped working after I inserted it right now",sim_issue,high,neutral,yes
I need support for an eSIM activation issue today,sim_issue,high,neutral,yes
The SIM stopped working after I inserted it,sim_issue,medium,neutral,yes
"Hi, I need support for an eSIM activation issue urgently",sim_issue,high,neutral,no
"Hi, My new SIM is not activated yet",sim_issue,low,neutral,no
"Hello, My new SIM is not activated yet right now",sim_issue,high,neutral,yes
My new SIM is not activated yet today,sim_issue,high,neutral,no
"Hello, Why does my phone say invalid SIM right now",sim_issue,high,negative,yes
My new SIM is not activated yet as soon as possible,sim_issue,high,neutral,no
My SIM card is not detected today,sim_issue,high,neutral,no
"Can you help, The SIM stopped working after I inserted it today",sim_issue,high,negative,no
"Hello, My SIM card suddenly has no signal today",sim_issue,high,neutral,no
"Can you help, I need support for an eSIM activation issue",sim_issue,medium,neutral,no
"Can you help, I need to replace my damaged SIM card urgently",sim_issue,high,negative,yes
"Hello, I lost my SIM card and need a new one urgently",sim_issue,high,negative,yes
"Hello, The SIM stopped working after I inserted it today",sim_issue,high,neutral,no
My SIM card suddenly has no signal urgently,sim_issue,high,neutral,no
"Please, I need support for an eSIM activation issue today",sim_issue,high,neutral,no
"Hi, I need support for an eSIM activation issue today",sim_issue,high,neutral,no
I need to replace my damaged SIM card as soon as possible,sim_issue,high,neutral,no
"Hi, The SIM tray is fine but the card has no service",sim_issue,high,neutral,yes
"Hello, I lost my SIM card and need a new one right now",sim_issue,high,negative,yes
The SIM tray is fine but the card has no service,sim_issue,high,neutral,no
My new SIM is not activated yet urgently,sim_issue,high,neutral,no
I lost my SIM card and need a new one,sim_issue,medium,negative,yes
"Can you help, Why does my phone say invalid SIM urgently",sim_issue,high,negative,yes
"Hi, The SIM stopped working after I inserted it",sim_issue,medium,neutral,no
"Can you help, I need to replace my damaged SIM card as soon as possible",sim_issue,high,negative,no
"Can you help, I lost my SIM card and need a new one urgently",sim_issue,high,negative,yes
"Please, The SIM tray is fine but the card has no service right now",sim_issue,high,negative,no
"Hello, The SIM stopped working after I inserted it today",sim_issue,high,neutral,no
"Hello, Can you help me with SIM activation today",sim_issue,high,negative,yes
"Hello, I need support for an eSIM activation issue urgently",sim_issue,high,neutral,no
I need to replace my damaged SIM card,sim_issue,medium,neutral,yes
"Can you help, I need support for an eSIM activation issue right now",sim_issue,high,neutral,no
"Please, The SIM tray is fine but the card has no service",sim_issue,high,neutral,no
"Hello, I need to replace my damaged SIM card today",sim_issue,high,neutral,yes
My SIM card suddenly has no signal,sim_issue,medium,neutral,yes
"Please, The SIM stopped working after I inserted it urgently",sim_issue,high,negative,yes
"Hi, Why does my phone say invalid SIM right now",sim_issue,high,negative,yes
The SIM tray is fine but the card has no service urgently,sim_issue,high,neutral,yes
"Can you help, Why does my phone say invalid SIM",sim_issue,low,negative,yes
"Hello, My router is not working properly",technical_support,medium,neutral,no
"Can you help, The service is down in my area today",technical_support,high,negative,no
"Please, Calls keep dropping during conversations urgently",technical_support,high,negative,yes
"Can you help, I cannot connect to the broadband service right now",technical_support,high,negative,yes
"Please, My data connection is unstable today urgently",technical_support,high,neutral,yes
The app keeps crashing when I open it,technical_support,medium,negative,no
"Hello, I need technical support for a connection problem",technical_support,medium,neutral,yes
"Please, Calls keep dropping during conversations urgently",technical_support,high,neutral,no
"Can you help, I cannot connect to the broadband service",technical_support,high,negative,yes
"Can you help, My router is not working properly",technical_support,medium,neutral,yes
"Can you help, The app keeps crashing when I open it as soon as possible",technical_support,high,negative,yes
"Hello, The app keeps crashing when I open it as soon as possible",technical_support,high,negative,no
"Can you help, The network keeps disconnecting right now",technical_support,high,negative,yes
"Hello, Calls keep dropping during conversations as soon as possible",technical_support,high,neutral,no
"Can you help, My data connection is unstable today",technical_support,high,neutral,no
"Can you help, Why is my phone signal so weak today",technical_support,high,negative,yes
"Hello, My mobile internet is very slow",technical_support,low,negative,no
"Hello, The service is down in my area today",technical_support,high,neutral,no
"Please, My data connection is unstable today urgently",technical_support,high,neutral,no
"Hi, My mobile internet is very slow right now",technical_support,high,negative,yes
"Can you help, My mobile internet is very slow as soon as possible",technical_support,high,negative,yes
"Hi, The app keeps crashing when I open it as soon as possible",technical_support,high,negative,no
